model,strategy,k,ar_tok_per_sec,spec_tok_per_sec,speedup
qwen3.5-0.8b,linear_only,2,29.02146716633223,0.746875525486096,0.025735277999747216
qwen3.5-0.8b,linear_only,4,29.53087278962934,0.47209505150954356,0.015986491658158308
qwen3.5-0.8b,linear_only,8,29.318691822482425,0.2657492505975586,0.009064157848740522
falcon-h1-0.5b,ssm_only,2,23.551010647801604,8.053316121420304,0.3419520394201023
falcon-h1-0.5b,ssm_only,4,23.824914507361107,7.409701263927995,0.3110064156426938
falcon-h1-0.5b,ssm_only,8,22.727549591757437,5.5782928936261955,0.24544189733719757
qwen2.5-0.5b,layer_skip,2,57.06274096205857,28.298569060792428,0.4959202552083566
qwen2.5-0.5b,layer_skip,4,58.618780612876805,20.85441451436946,0.355763362805066
qwen2.5-0.5b,layer_skip,8,62.95106687894475,12.277040791364483,0.19502514254402234
