model,D_TV_mean,D_TV_std,D_TV_median,D_TV_p90,top1_agree,KL_mean,n_pos
qwen3.5-0.8b,0.8029140830039978,0.19953255355358124,0.8644793033599854,0.9838038682937622,0.20315827429294586,4.260520935058594,5636
falcon-h1-0.5b,0.301758736371994,0.21091268956661224,0.26730310916900635,0.5901920795440674,0.6584699749946594,0.5536620020866394,5856
qwen2.5-0.5b,0.47326916456222534,0.2160944640636444,0.4666672945022583,0.7672051787376404,0.49636590480804443,1.0186909437179565,5641
