model_key,strategy,k,acceptance_rate,ci_lo,ci_hi,mean_accepted_length,n_trials
qwen3.5-0.8b,early_exit,4,0.0,0.0,0.0,0.0,100
qwen3.5-0.8b,layer_skip,4,0.2325,0.1725,0.295,0.93,100
